test,date,bucket,rank_ic_12m,mean_next_12m,n
attention_vs_momentum_ic,2008-03-31,3,-0.16083916083916086,0.23985932506531424,12
attention_vs_momentum_ic,2008-04-30,1,-0.16783216783216784,-0.16849116434532874,12
attention_vs_momentum_ic,2008-04-30,2,-0.18181818181818185,-0.09439577179951776,12
attention_vs_momentum_ic,2008-04-30,3,0.02097902097902098,-0.21319387907608967,12
attention_vs_momentum_ic,2008-06-30,1,0.21428571428571427,-0.16887746010932714,13
attention_vs_momentum_ic,2008-06-30,2,0.15384615384615385,0.011426675305182432,12
attention_vs_momentum_ic,2008-06-30,3,0.6573426573426573,-0.1141041260198028,12
attention_vs_momentum_ic,2008-07-31,1,-0.17032967032967034,-0.02356713256586043,13
attention_vs_momentum_ic,2008-07-31,2,-0.6503496503496504,0.1742332856827471,12
attention_vs_momentum_ic,2008-07-31,3,0.2747252747252747,0.01619351951986118,13
attention_vs_momentum_ic,2008-09-30,1,0.5034965034965035,0.1688029229751665,12
attention_vs_momentum_ic,2008-09-30,2,-0.23076923076923078,0.306250417099489,12
attention_vs_momentum_ic,2008-09-30,3,0.46153846153846156,0.29276815677755913,12
attention_vs_momentum_ic,2008-10-31,1,0.19230769230769232,0.5949510255363989,13
attention_vs_momentum_ic,2008-10-31,2,-0.15384615384615385,0.6340844395598846,12
attention_vs_momentum_ic,2008-10-31,3,-0.2747252747252747,0.5311446492526031,13
attention_vs_momentum_ic,2009-03-31,1,-0.5549450549450549,0.741970361481305,13
attention_vs_momentum_ic,2009-03-31,2,0.7412587412587414,0.4171206650332196,12
attention_vs_momentum_ic,2009-03-31,3,0.049450549450549455,0.35092924004668336,13
attention_vs_momentum_ic,2009-04-30,1,-0.34065934065934067,0.42700842914260007,13
attention_vs_momentum_ic,2009-04-30,2,0.2657342657342658,0.2686337923238999,12
attention_vs_momentum_ic,2009-04-30,3,-0.016483516483516484,0.2962032613528204,13
attention_vs_momentum_ic,2009-06-30,1,0.3142857142857143,0.5502296410616674,14
attention_vs_momentum_ic,2009-06-30,2,0.5164835164835164,0.27793394251726394,13
attention_vs_momentum_ic,2009-06-30,3,-0.06593406593406594,0.1325368217556431,13
attention_vs_momentum_ic,2009-07-31,1,0.45494505494505494,0.3905750255140389,14
attention_vs_momentum_ic,2009-07-31,2,0.7252747252747254,0.2880752416346686,13
attention_vs_momentum_ic,2009-07-31,3,0.0934065934065934,0.08916232217861603,13
attention_vs_momentum_ic,2009-08-31,1,-0.1956043956043956,0.29978093029941666,14
attention_vs_momentum_ic,2009-08-31,2,0.22527472527472525,0.23572161064700303,13
attention_vs_momentum_ic,2009-08-31,3,-0.14725274725274726,0.0718560032663087,14
attention_vs_momentum_ic,2009-09-30,1,-0.0857142857142857,0.2606375411911104,14
attention_vs_momentum_ic,2009-09-30,2,-0.14285714285714285,0.2792709113875892,13
attention_vs_momentum_ic,2009-09-30,3,-0.4505494505494505,0.1654108650842736,13
attention_vs_momentum_ic,2009-11-30,1,-0.22527472527472525,0.5605254511192721,13
attention_vs_momentum_ic,2009-11-30,2,-0.054945054945054944,0.2856785912558992,13
attention_vs_momentum_ic,2009-11-30,3,-0.16483516483516483,0.2877598032327255,13
attention_vs_momentum_ic,2010-03-31,1,-0.13186813186813187,0.32066325155466135,13
attention_vs_momentum_ic,2010-03-31,2,-0.1958041958041958,0.37368022737079337,12
attention_vs_momentum_ic,2010-03-31,3,0.2087912087912088,0.24585793270706574,13
attention_vs_momentum_ic,2010-04-30,1,0.04395604395604395,0.4027504410617444,13
attention_vs_momentum_ic,2010-04-30,2,-0.2937062937062937,0.17992572487629446,12
attention_vs_momentum_ic,2010-04-30,3,0.30069930069930073,0.27119565546628127,12
attention_vs_momentum_ic,2010-05-31,1,0.24835164835164836,0.3938304666608138,14
attention_vs_momentum_ic,2010-05-31,2,-0.24725274725274726,0.530616714389993,13
attention_vs_momentum_ic,2010-05-31,3,0.45054945054945056,0.27460096955378155,14
attention_vs_momentum_ic,2010-06-30,1,0.2728274478219458,0.25008858519434335,14
attention_vs_momentum_ic,2010-06-30,2,-0.07142857142857142,0.3116110603809664,13
attention_vs_momentum_ic,2010-06-30,3,0.24835164835164836,0.3390357461917008,14
attention_vs_momentum_ic,2010-08-31,1,0.4964285714285714,0.15856536166005614,15
attention_vs_momentum_ic,2010-08-31,2,-0.39780219780219783,0.023863647311335532,14
attention_vs_momentum_ic,2010-08-31,3,-0.05054945054945055,0.08021397196364739,14
attention_vs_momentum_ic,2010-09-30,1,0.3934065934065934,0.0034132965977054985,14
attention_vs_momentum_ic,2010-09-30,2,0.021978021978021976,-0.17977700757142429,13
attention_vs_momentum_ic,2010-09-30,3,-0.10989010989010989,-0.101954242778003,13
attention_vs_momentum_ic,2010-11-30,1,0.6923076923076923,-0.0051658349430210625,14
attention_vs_momentum_ic,2010-11-30,2,0.11538461538461539,-0.13940437322029492,13
attention_vs_momentum_ic,2010-11-30,3,0.04615384615384615,-0.03446970216907722,14
attention_vs_momentum_ic,2011-01-31,1,0.6351648351648352,-0.04386759444403298,14
attention_vs_momentum_ic,2011-01-31,2,0.006593406593406593,-0.15930985459319408,14
attention_vs_momentum_ic,2011-01-31,3,-0.15164835164835166,-0.03442279321675918,14
attention_vs_momentum_ic,2011-02-28,1,0.4505494505494505,0.0296585484580617,13
attention_vs_momentum_ic,2011-02-28,2,0.32867132867132864,-0.022323622890634925,12
attention_vs_momentum_ic,2011-02-28,3,-0.3186813186813187,-0.0010001685964555408,13
attention_vs_momentum_ic,2011-03-31,1,0.27472527472527475,-0.01996407627818417,14
attention_vs_momentum_ic,2011-03-31,2,0.23076923076923075,-0.20159134372230061,14
attention_vs_momentum_ic,2011-03-31,3,-0.15164835164835166,-0.06283025186893677,14
attention_vs_momentum_ic,2011-05-31,1,-0.23928571428571427,-0.0908003406909193,15
attention_vs_momentum_ic,2011-05-31,2,0.04615384615384615,-0.24453892810166833,14
attention_vs_momentum_ic,2011-05-31,3,-0.1357142857142857,-0.1354370402680665,15
attention_vs_momentum_ic,2011-06-30,1,-0.25357142857142856,-0.11616659135603695,15
attention_vs_momentum_ic,2011-06-30,2,-0.01098901098901099,-0.1675344837918234,14
attention_vs_momentum_ic,2011-06-30,3,-0.2351648351648352,-0.1370399714976313,14
attention_vs_momentum_ic,2011-08-31,1,-0.46071428571428563,0.05252691166153898,15
attention_vs_momentum_ic,2011-08-31,2,0.04175824175824176,-0.042851327741686526,14
attention_vs_momentum_ic,2011-08-31,3,0.03736263736263736,-0.046376469623113266,14
attention_vs_momentum_ic,2011-09-30,1,-0.4428571428571427,0.07364927274771163,15
attention_vs_momentum_ic,2011-09-30,2,-0.0857142857142857,0.19106014894800852,14
attention_vs_momentum_ic,2011-09-30,3,-0.3186813186813187,0.10427343578193324,14
attention_vs_momentum_ic,2011-10-31,1,-0.24395604395604395,-0.058559263758245064,14
