test,date,bucket,mean_return,n
price_level_vs_future_1m,2002-12-30 00:00:00,2,0.09702739885995106,291
price_level_vs_future_1m,2002-12-30 00:00:00,3,-0.03578102242334881,291
price_level_vs_future_1m,2002-12-30 00:00:00,4,-0.027399368075351267,291
price_level_vs_future_1m,2002-12-30 00:00:00,5,-0.004426274252333307,291
price_level_vs_future_1m,2003-01-30 00:00:00,1,0.01159094403861413,295
price_level_vs_future_1m,2003-01-30 00:00:00,2,-0.013006269935551524,297
price_level_vs_future_1m,2003-01-30 00:00:00,3,0.0005866907958508764,293
price_level_vs_future_1m,2003-01-30 00:00:00,4,-0.005049319478070419,295
price_level_vs_future_1m,2003-01-30 00:00:00,5,-0.011533443448679478,295
price_level_vs_future_1m,2003-02-28 00:00:00,1,-0.1274173379732472,297
price_level_vs_future_1m,2003-02-28 00:00:00,2,-0.11132311690145291,296
price_level_vs_future_1m,2003-02-28 00:00:00,3,-0.10979668140835268,296
price_level_vs_future_1m,2003-02-28 00:00:00,4,-0.10721903170337097,298
price_level_vs_future_1m,2003-02-28 00:00:00,5,-0.15085128779594842,295
price_level_vs_future_1m,2003-03-31 00:00:00,1,0.3055341966784868,294
price_level_vs_future_1m,2003-03-31 00:00:00,2,0.11558790322597239,294
price_level_vs_future_1m,2003-03-31 00:00:00,3,0.14057771614376932,294
price_level_vs_future_1m,2003-03-31 00:00:00,4,0.14612468155444533,294
price_level_vs_future_1m,2003-03-31 00:00:00,5,0.15419256457390743,294
price_level_vs_future_1m,2003-04-30 00:00:00,1,0.1129600824950532,294
price_level_vs_future_1m,2003-04-30 00:00:00,2,0.08040516814382408,293
price_level_vs_future_1m,2003-04-30 00:00:00,3,0.09539017238401218,294
price_level_vs_future_1m,2003-04-30 00:00:00,4,0.09841511620827711,293
price_level_vs_future_1m,2003-04-30 00:00:00,5,0.09729050676693562,294
price_level_vs_future_1m,2003-05-30 00:00:00,1,0.06314543605291068,295
price_level_vs_future_1m,2003-05-30 00:00:00,2,0.07287347885567204,293
price_level_vs_future_1m,2003-05-30 00:00:00,3,0.04413555812105586,294
price_level_vs_future_1m,2003-05-30 00:00:00,4,0.03929951220412811,294
price_level_vs_future_1m,2003-05-30 00:00:00,5,0.047023830464936224,294
price_level_vs_future_1m,2003-06-30 00:00:00,1,0.010386766931017952,295
price_level_vs_future_1m,2003-06-30 00:00:00,2,0.02102377520661122,295
price_level_vs_future_1m,2003-06-30 00:00:00,3,-0.014552062139818453,293
price_level_vs_future_1m,2003-06-30 00:00:00,4,-0.013958723101138151,294
price_level_vs_future_1m,2003-06-30 00:00:00,5,-0.022608155326976496,295
price_level_vs_future_1m,2003-07-31 00:00:00,1,-0.027048098316285244,297
price_level_vs_future_1m,2003-07-31 00:00:00,2,-0.006586641522377031,296
price_level_vs_future_1m,2003-07-31 00:00:00,3,0.03703076462169343,296
price_level_vs_future_1m,2003-07-31 00:00:00,4,0.016271697891135507,296
price_level_vs_future_1m,2003-07-31 00:00:00,5,-0.05767776124267394,297
price_level_vs_future_1m,2003-08-29 00:00:00,1,-0.039755384245483257,298
price_level_vs_future_1m,2003-08-29 00:00:00,2,-0.04466725916797684,298
price_level_vs_future_1m,2003-08-29 00:00:00,3,-0.06806250434067192,296
price_level_vs_future_1m,2003-08-29 00:00:00,4,-0.08738057881675769,297
price_level_vs_future_1m,2003-08-29 00:00:00,5,-0.08146802349156405,298
price_level_vs_future_1m,2003-09-30 00:00:00,1,-0.009386832857611258,297
price_level_vs_future_1m,2003-09-30 00:00:00,2,-0.0018612354739077409,296
price_level_vs_future_1m,2003-09-30 00:00:00,3,0.004864523919368383,296
price_level_vs_future_1m,2003-09-30 00:00:00,4,0.024735335937901372,296
price_level_vs_future_1m,2003-09-30 00:00:00,5,0.012585664743048891,296
price_level_vs_future_1m,2003-10-31 00:00:00,1,0.01111184352646335,299
price_level_vs_future_1m,2003-10-31 00:00:00,2,0.013970387940288969,295
price_level_vs_future_1m,2003-10-31 00:00:00,3,0.0009284931341311148,296
price_level_vs_future_1m,2003-10-31 00:00:00,4,0.0007466918309280624,297
price_level_vs_future_1m,2003-10-31 00:00:00,5,-0.018249425984329614,297
price_level_vs_future_1m,2003-11-28 00:00:00,1,0.021230255178148947,298
price_level_vs_future_1m,2003-11-28 00:00:00,2,0.015567120159899563,298
