date,bucket,rank_ic_12m,n
2023-07-31,1,0.04478686635944701,63
2023-07-31,2,-0.07958909370199693,63
2023-07-31,3,-0.008544546850998464,63
2023-08-31,1,0.05649961597542243,63
2023-08-31,2,0.06982951826949713,62
2023-08-31,3,-0.020674372340157638,62
2023-10-31,1,0.2147657450076805,63
2023-10-31,2,0.20646121351766517,63
2023-10-31,3,0.2109735023041475,63
2023-11-30,1,0.4383241758241757,64
2023-11-30,2,0.02860983102918587,63
2023-11-30,3,0.1293698321165562,63
2024-01-31,1,0.19705261136712748,63
2024-01-31,2,0.10584677419354839,63
2024-01-31,3,0.32138056835637485,63
2024-02-29,1,0.005128205128205127,64
2024-02-29,2,0.07354070660522273,63
2024-02-29,3,0.02068932411674347,63
2024-04-30,1,0.49686484853063384,62
2024-04-30,2,-0.09652237415325729,62
2024-04-30,3,0.02631512679106545,62
2024-05-31,1,0.32037063343950756,65
2024-05-31,2,-0.030998168498168492,64
2024-05-31,3,0.1695367132867133,65
2024-07-31,1,0.25196678321678323,65
2024-07-31,2,0.13850524475524476,65
2024-07-31,3,0.1858828671328671,65
2024-09-30,1,0.2840830810980065,66
2024-09-30,2,0.12180944055944057,65
2024-09-30,3,-0.02870264064293915,66
2024-10-31,1,-0.09366258741258741,65
2024-10-31,2,-0.0875437062937063,65
2024-10-31,3,0.0479458041958042,65
2025-01-31,1,-0.1410839160839161,65
2025-01-31,2,0.025087412587412587,65
2025-01-31,3,0.0847027972027972,65
2025-02-28,1,0.17882512570835662,67
2025-02-28,2,-0.01730508297672477,66
2025-02-28,3,0.10255714434818915,66
2025-03-31,1,0.09094899832388859,67
2025-03-31,2,0.04327314476568209,66
2025-03-31,3,0.07454705084204646,67
2025-04-30,1,0.2913640354377844,67
2025-04-30,2,-0.05558918693247052,66
2025-04-30,3,-0.09701492537313434,67
