date,path,return,holdings,banned_share
2009-03-31,contract,0.14838137665932685,27,0.248038624019312
2009-03-31,expand,0.10901690532113129,20,0.4127942063971032
2009-04-30,contract,0.03227910701709203,29,0.25
2009-04-30,expand,0.021892932676508436,26,0.4158595641646489
2009-05-29,contract,0.012899607280218979,29,0.24772864930345245
2009-05-29,expand,0.019063814296830715,24,0.41308298001211385
2009-06-30,contract,0.06280297700361467,29,0.24772864930345245
2009-06-30,expand,0.07399304348224621,24,0.4124772864930345
2009-07-31,contract,0.031490400051811133,30,0.24833029751062538
2009-07-31,expand,0.03317539218252228,28,0.4134790528233151
2009-08-31,contract,0.06030399046102858,29,0.2480243161094225
2009-08-31,expand,0.06178527320192022,27,0.4133738601823708
2009-09-30,contract,-0.01810352032969175,27,0.2475669099756691
2009-09-30,expand,-0.020834862439340514,22,0.4124087591240876
2009-10-30,contract,-0.04698893813039296,27,0.24862888482632542
2009-10-30,expand,-0.052058392576255684,21,0.4137720901889092
2009-11-30,contract,0.02951132253387434,29,0.24787363304981774
2009-11-30,expand,0.037139004595530226,20,0.4131227217496962
2009-12-30,contract,-0.023577782706828997,25,0.2469806763285024
2009-12-30,expand,-0.015880925230565338,19,0.411231884057971
2010-01-29,contract,-0.006367379272715967,28,0.24819277108433735
2010-01-29,expand,-0.004025066295386828,22,0.41325301204819276
2010-02-26,contract,0.019353560894812376,29,0.2489451476793249
2010-02-26,expand,0.011897001076821933,24,0.41470765521398434
2010-03-31,contract,-0.000136716093150187,28,0.2529016493585828
2010-03-31,expand,-0.021236391519031943,23,0.42089187538179595
2010-04-30,contract,-0.04240335231047155,25,0.25555555555555554
2010-04-30,expand,-0.044679613639239085,22,0.42592592592592593
2010-05-31,contract,0.02578358116398866,28,0.25200246457178066
2010-05-31,expand,0.03570536814805607,19,0.4195933456561922
2010-06-30,contract,0.029558500050539664,23,0.2501540357362908
2010-06-30,expand,0.02843699717113901,14,0.4165126309303758
2010-07-30,contract,-0.005287715250731731,26,0.24984653161448742
2010-07-30,expand,0.002727164239329463,16,0.4162062615101289
2010-08-31,contract,0.04089096749639203,26,0.24893227577791335
